,tweet_id
637573,1344794822691983360
637574,1344794752819077120
637575,1344790296119422976
637576,1344789059290468352
637577,1344788039319625728
637578,1344782644408680448
637579,1344781792956600320
637580,1344779109394751488
637581,1344777176705454080
637582,1344776642577780736
637583,1344776637402017792
637584,1344776610935926784
637585,1344774621778817024
637586,1344770871165145088
637587,1344770503014297600
637588,1344770282117062656
637589,1344768972613414912
637590,1344768691091558400
637591,1344766649191292928
637592,1344765819188817920
637593,1344765626884173824
637594,1344764469260513280
637595,1344763622371823616
637596,1344763485788405760
637597,1344763058888048640
637598,1344762878012907520
637599,1344761076991332352
637600,1344760293159702528
637601,1344760267381460992
637602,1344756661567823872
637603,1344756485184757760
637604,1344754937469743104
637605,1344752471063863296
637606,1344752375651835904
637607,1344752277412851712
637608,1344750765353517056
637609,1344746378501746688
637610,1344745977018769408
637611,1344745483068170240
637612,1344745066158551040
637613,1344742050248478720
637615,1344736773302267904
637616,1344733112454942720
637617,1344732311967985664
637618,1344731663490666496
637619,1344729746735837184
637620,1344728257250246656
637621,1344726216230674432
637622,1344725006220193792
637623,1344722143792287744
637624,1344719560793075712
637625,1344719068520095744
637626,1344718769604726784
637627,1344717659024351232
637628,1344717229745713152
637629,1344714858361712640
637630,1344714399781593088
637631,1344712049176309760
637632,1344710071415152640
637633,1344709600663269376
637634,1344709040195166208
637635,1344708288013856768
637636,1344707339270713344
637638,1344703158757548032
637639,1344702824181993472
637640,1344701732798910464
637641,1344698975098707968
637642,1344696094740115456
637643,1344695753839685632
637644,1344689691052838912
637645,1344689636615073792
637646,1344688894038695936
637647,1344687409640960000
637648,1344687361968451584
637649,1344687228505751552
637650,1344686393113669632
637651,1344686185919221760
637652,1344682652595613696
637653,1344682636904718336
637654,1344682618063888384
637655,1344679396880343040
637656,1344679272879951872
637657,1344679258053095424
637658,1344678920243863552
637659,1344678614646796288
637660,1344676165798260736
637661,1344675836201492480
637662,1344674516119801856
637663,1344669481197572096
637664,1344667857272020992
637665,1344667774933749760
637666,1344665939275485184
637667,1344664046944006144
637668,1344664027532816384
637669,1344660902608588800
637670,1344658464916717568
637671,1344644211459706880
637672,1344641827803172864
637673,1344641028884733952
637674,1344638986929786880
637675,1344635307916980224
637676,1344624566031831040
637677,1344622228181311488
637678,1344621398241775616
637679,1344619006716760064
637680,1344618910209990656
637681,1344611240740589568
637682,1344610405474328576
637683,1344604956322639872
637684,1344604599957786624
637685,1344602413391462400
637686,1344601101908254720
637687,1344594792601292800
637688,1344593720730148864
637689,1344583581188956160
637690,1344577683909439488
637691,1344576592740286464
637692,1344573389067984896
637693,1344569866339155968
637694,1344562241497141248
637695,1344559692564078592
637696,1344554507863289856
637697,1344554417736077312
637698,1344552808331284480
637699,1344546290491772928
637700,1344546123822804992
637701,1344530658346102784
637702,1344530623038431232
637703,1344527062690713600
637704,1344524920491966464
637705,1344521322609614848
637706,1344520072111468544
637707,1344519682796130304
637708,1344518857441087488
637709,1344507680489017344
637710,1344504981873782784
637711,1344503702166581248
637712,1344503300008202240
637713,1344500667134611456
637714,1344500033136201728
637715,1344499197857460224
637716,1344498416592842752
637717,1344494125094060032
637718,1344492792316268544
637719,1344490783244754944
637720,1344487500270555136
637721,1344486480450707456
637722,1344485092622696448
637723,1344484103907811328
637724,1344480535540682752
637725,1344480075534671872
637726,1344479743194791936
637727,1344478316066078720
637728,1344478271581290496
637729,1344477622395232256
637730,1344476928758013952
637731,1344472368941420544
637732,1344468200189087744
637733,1344466857730818048
637734,1344466759127076864
637735,1344466754265706496
637736,1344466233383677952
637737,1344465257511624704
637738,1344463288952909824
637739,1344462840984461312
637740,1344462814736306176
637741,1344461986835398656
637742,1344457725900685312
637743,1344454701081788416
637744,1344450000638660608
637745,1344449198322814976
637746,1344448894101565440
637747,1344445783257583616
637748,1344445242389520384
637749,1344444768416387072
637750,1344444625810022400
637751,1344444464396464128
637752,1344440455765893120
637753,1344436658096189440
637754,1344435127447859200
637755,1344434047041347584
637756,1344432724132687872
637757,1344432037898276864
637758,1344431248261963776
637759,1344430286315139072
637760,1344429737712771072
637761,1344429325802733568
637762,1344429164279914496
637763,1344428234734247936
637764,1344425252055638016
637765,1344423497016213504
637766,1344420840843128832
637767,1344420665500327936
637768,1344418138771881984
637769,1344417754376331264
637770,1344415648286433280
637771,1344414222839549952
637772,1344413936599314432
637773,1344412367527047168
637774,1344412224958439424
637775,1344411492322402304
637776,1344405625342730240
637777,1344405098949177344
637778,1344404566792658944
637779,1344404166756753408
637780,1344400077943681024
637781,1344399709469872128
637782,1344399565592666112
637783,1344398045094539264
637784,1344397231051464704
637785,1344397229625401344
637786,1344392977846824960
637787,1344392759709368320
637788,1344392631934214144
637789,1344390987137904640
637790,1344389753651802112
637791,1344389560038531072
637792,1344386747988201472
637793,1344383909820309504
637794,1344383682484715520
637795,1344383132326371328
637796,1344380979566309376
637797,1344379809284190208
637799,1344379115990822912
637800,1344378715833294848
637801,1344369294935695360
637802,1344368481014325248
637803,1344367991719399424
637804,1344366838877192192
637805,1344366253981507584
637806,1344365533232308224
637807,1344365268458295296
637808,1344365136052539392
637809,1344364467170078720
637810,1344363843384987648
637811,1344360131010686976
637812,1344359543615213568
637813,1344359389235470336
637814,1344358391888687104
637815,1344356843515207680
637816,1344356646827528192
637817,1344356553437155328
637818,1344356154718097408
637819,1344355946735284224
637820,1344355197309624320
637821,1344354766734807040
637822,1344353805954068480
637823,1344353396522827776
637824,1344351678678458368
637825,1344349844266123264
637826,1344349608101732352
637827,1344348596309786624
637828,1344346340671807488
637829,1344345356222353408
637830,1344345124159934464
637831,1344344023046111232
637832,1344343398153670656
637833,1344343125469368320
637834,1344341795883409408
637835,1344341146726760448
637836,1344338953256591360
637837,1344337935546654720
637838,1344337694906843136
637839,1344336290456752128
637840,1344335929050341376
637841,1344335865812807680
637842,1344335700297179136
637843,1344333425109561344
637844,1344332846584967168
637845,1344332732911005696
637846,1344332631807295488
637847,1344331718648619008
637848,1344330479164477440
637849,1344327847884828672
637850,1344327696344465408
637851,1344324263914967040
637852,1344323006718480384
637853,1344322658155040768
637854,1344322085909192704
637855,1344321469266817024
637856,1344321243349094400
637857,1344317725733216256
637858,1344317329828671488
637859,1344316590947500032
637860,1344315381771595776
637861,1344314642936557568
637862,1344313403242852352
637863,1344313200133742592
637864,1344312536984907776
637865,1344312254817308672
637866,1344311498483458048
637867,1344310605407268864
637868,1344309076881235968
637869,1344309074347913216
637870,1344307899871371264
637871,1344307475844014080
637872,1344306848334307328
637873,1344305948840652800
637874,1344304376882589696
637875,1344302844170674176
637876,1344301299886653440
637877,1344300175871897600
637878,1344299996343136256
637879,1344299697381511168
637880,1344299311950131200
637881,1344298525274718208
637882,1344298446430347264
637883,1344298418265534464
637884,1344297271668731904
637885,1344297058652610560
637886,1344295369233084416
637887,1344294244022939648
637888,1344293404625264640
637889,1344293096532676608
637890,1344293008234209280
637891,1344291849423396864
637892,1344290421225246720
637893,1344289639956434944
637894,1344289345197518848
637895,1344289312926527488
637896,1344288464561442816
637897,1344287938859986944
637898,1344286072906330112
637899,1344284978532777984
637900,1344284392672387072
637901,1344283174017372160
637902,1344281833098399744
637903,1344280911391686656
637904,1344279686365536256
637905,1344279515934191616
637906,1344277717483720704
637907,1344276902710812672
637908,1344271098729390080
637909,1344269199615684608
637910,1344268966630486016
637911,1344267726022455296
637912,1344264597629448192
637913,1344256771033079808
637914,1344254470528626688
637915,1344254225845526528
637916,1344252450547650560
637917,1344251454140383232
637918,1344249929913556992
637919,1344249105535684608
637920,1344248232310878208
637921,1344246579641933824
637922,1344240252790202368
637923,1344237410926919680
637924,1344237328584290304
637925,1344237151395962880
637926,1344236437026332672
637927,1344234846944702464
637928,1344234207816638464
637929,1344233615073406976
637930,1344233370121883648
637931,1344231080824610816
637932,1344229375034667008
637933,1344226657314492416
637934,1344223565575577600
637935,1344222317015130112
637936,1344222108713324544
637937,1344218448403030016
637938,1344214970880450560
637939,1344213238737756160
637940,1344207072594960384
637941,1344205242980823040
637943,1344202966094458880
637944,1344202639911710720
637945,1344202236553875456
637946,1344198896420069376
637947,1344198203940466688
637948,1344197814293848064
637949,1344195567631564800
637950,1344189468668952576
637951,1344189004644634624
637952,1344188781981786112
637953,1344187635636588544
637954,1344187137311330304
637955,1344183210134147072
637956,1344177472636661760
637957,1344169492813758464
637958,1344167650293899264
637959,1344164465487429632
637960,1344157314769629184
637961,1344151455087865856
637962,1344144331184201728
637963,1344138038272671744
637964,1344124738772246528
637965,1344124238312124416
637966,1344123569727438848
637967,1344123526480093184
637968,1344123130059640832
637969,1344120091420422144
637970,1344118849608835072
637971,1344117418210291712
637972,1344116967624552448
637973,1344116634391248896
637974,1344115000584105984
637975,1344113218948452352
637976,1344110350069882880
637977,1344109662115913728
637978,1344106384082698240
637979,1344104678150193152
637980,1344104459329282048
637981,1344104291947212800
637982,1344103795672940544
637983,1344102834673831936
637984,1344102570315444224
637985,1344100695230668800
637986,1344098065951514624
637987,1344097739601133568
